2026-03-18T22:13:26.223 | CLIENT | INFO | Packet::serialize() - seq: 33554432 - payload: [ 0x6f ]
2026-03-18T22:13:26.223 | CLIENT | FUNCTION END | Packet::serialize()
2026-03-18T22:16:22.924 | CLIENT | CONNECTED | target=127.0.0.1:8888 - timeout=10 - max_retries=3
2026-03-18T22:16:25.011 | CLIENT | FUNCTION CALL | Packet::serialize()
2026-03-18T22:16:25.011 | CLIENT | INFO | Packet::serialize() - seq: 0 - payload: [ 0x68 0x65 ]
2026-03-18T22:16:25.011 | CLIENT | FUNCTION END | Packet::serialize()
2026-03-18T22:16:25.011 | CLIENT | FUNCTION CALL | Packet::serialize()
2026-03-18T22:16:25.011 | CLIENT | INFO | Packet::serialize() - seq: 16777216 - payload: [ 0x6c 0x6c ]
2026-03-18T22:16:25.011 | CLIENT | FUNCTION END | Packet::serialize()
2026-03-18T22:16:25.011 | CLIENT | FUNCTION CALL | Packet::serialize()
2026-03-18T22:16:25.011 | CLIENT | INFO | Packet::serialize() - seq: 33554432 - payload: [ 0x6f ]
2026-03-18T22:16:25.011 | CLIENT | FUNCTION END | Packet::serialize()
2026-03-18T22:32:09.885 | CLIENT | CONNECTED | target=127.0.0.1:8888 - timeout=10 - max_retries=3
2026-03-18T22:32:24.174 | CLIENT | FUNCTION CALL | Packet::serialize()
2026-03-18T22:32:24.174 | CLIENT | INFO | Packet::serialize() - seq: 0 - payload: [ 0x68 0x65 ]
2026-03-18T22:32:24.174 | CLIENT | FUNCTION END | Packet::serialize()
2026-03-18T22:32:26.175 | CLIENT | FUNCTION CALL | Packet::serialize()
2026-03-18T22:32:26.176 | CLIENT | INFO | Packet::serialize() - seq: 16777216 - payload: [ 0x6c 0x6c ]
2026-03-18T22:32:26.176 | CLIENT | FUNCTION END | Packet::serialize()
2026-03-18T22:32:28.176 | CLIENT | FUNCTION CALL | Packet::serialize()
2026-03-18T22:32:28.177 | CLIENT | INFO | Packet::serialize() - seq: 33554432 - payload: [ 0x6f ]
2026-03-18T22:32:28.177 | CLIENT | FUNCTION END | Packet::serialize()
2026-03-18T22:32:38.756 | CLIENT | CONNECTED | target=127.0.0.1:8888 - timeout=10 - max_retries=3
2026-03-18T22:32:40.584 | CLIENT | FUNCTION CALL | Packet::serialize()
2026-03-18T22:32:40.584 | CLIENT | INFO | Packet::serialize() - seq: 0 - payload: [ 0x68 0x65 ]
2026-03-18T22:32:40.584 | CLIENT | FUNCTION END | Packet::serialize()
2026-03-18T22:32:42.585 | CLIENT | FUNCTION CALL | Packet::serialize()
2026-03-18T22:32:42.585 | CLIENT | INFO | Packet::serialize() - seq: 16777216 - payload: [ 0x6c 0x6c ]
2026-03-18T22:32:42.585 | CLIENT | FUNCTION END | Packet::serialize()
2026-03-18T22:32:44.586 | CLIENT | FUNCTION CALL | Packet::serialize()
2026-03-18T22:32:44.586 | CLIENT | INFO | Packet::serialize() - seq: 33554432 - payload: [ 0x6f ]
2026-03-18T22:32:44.586 | CLIENT | FUNCTION END | Packet::serialize()
2026-03-20T23:40:57.172 | CLIENT | CONNECTED | target=127.0.0.1:8888 - timeout=10 - max_retries=3
2026-03-20T23:41:20.218 | CLIENT | FUNCTION CALL | Packet::serialize()
2026-03-20T23:41:20.218 | CLIENT | INFO | Packet::serialize() - seq: 0 - payload: [ 0x68 0x65 ]
2026-03-20T23:41:20.218 | CLIENT | FUNCTION END | Packet::serialize()
2026-03-20T23:41:22.219 | CLIENT | FUNCTION CALL | Packet::serialize()
2026-03-20T23:41:22.219 | CLIENT | INFO | Packet::serialize() - seq: 16777216 - payload: [ 0x6c 0x6c ]
2026-03-20T23:41:22.219 | CLIENT | FUNCTION END | Packet::serialize()
2026-03-20T23:41:24.220 | CLIENT | FUNCTION CALL | Packet::serialize()
2026-03-20T23:41:24.220 | CLIENT | INFO | Packet::serialize() - seq: 33554432 - payload: [ 0x6f ]
2026-03-20T23:41:24.220 | CLIENT | FUNCTION END | Packet::serialize()
2026-03-20T23:57:40.524 | CLIENT | FUNCTION CALL | Packet::serialize()
2026-03-20T23:57:40.524 | CLIENT | INFO | Packet::serialize() - seq: 50331648 - payload: [ 0x68 0x65 ]
2026-03-20T23:57:40.524 | CLIENT | FUNCTION END | Packet::serialize()
2026-03-20T23:58:47.559 | CLIENT | CONNECTED | target=127.0.0.1:8888 - timeout=10 - max_retries=3
2026-03-20T23:58:49.170 | CLIENT | FUNCTION CALL | Packet::serialize()
2026-03-20T23:58:49.171 | CLIENT | INFO | Packet::serialize() - seq: 0 - payload: [ 0x68 0x65 ]
2026-03-20T23:58:49.171 | CLIENT | FUNCTION END | Packet::serialize()
2026-03-20T23:58:49.171 | CLIENT | FUNCTION CALL | Packet::serialize()
2026-03-20T23:58:49.171 | CLIENT | INFO | Packet::serialize() - seq: 16777216 - payload: [ 0x6c 0x6c ]
2026-03-20T23:58:49.171 | CLIENT | FUNCTION END | Packet::serialize()
2026-03-20T23:59:24.654 | CLIENT | CONNECTED | target=127.0.0.1:8888 - timeout=10 - max_retries=3
2026-03-20T23:59:36.224 | CLIENT | FUNCTION CALL | Packet::serialize()
2026-03-20T23:59:36.224 | CLIENT | INFO | Packet::serialize() - seq: 0 - payload: [ 0x68 0x65 ]
2026-03-20T23:59:36.224 | CLIENT | FUNCTION END | Packet::serialize()
2026-03-20T23:59:36.225 | CLIENT | FUNCTION CALL | Packet::serialize()
2026-03-20T23:59:36.225 | CLIENT | INFO | Packet::serialize() - seq: 16777216 - payload: [ 0x6c 0x6c ]
2026-03-20T23:59:36.225 | CLIENT | FUNCTION END | Packet::serialize()
2026-03-20T23:59:36.225 | CLIENT | FUNCTION CALL | Packet::serialize()
2026-03-20T23:59:36.225 | CLIENT | INFO | Packet::serialize() - seq: 33554432 - payload: [ 0x6f ]
2026-03-20T23:59:36.225 | CLIENT | FUNCTION END | Packet::serialize()
2026-03-21T00:43:16.621 | CLIENT | CONNECTED | target=127.0.0.1:8888 - timeout=10 - max_retries=3
2026-03-21T00:43:18.159 | CLIENT | FUNCTION CALL | Packet::serialize()
2026-03-21T00:43:18.159 | CLIENT | INFO | Packet::serialize() - seq: 0 - payload: [ 0x68 0x65 ]
2026-03-21T00:43:18.159 | CLIENT | FUNCTION END | Packet::serialize()
2026-03-21T00:43:18.159 | CLIENT | FUNCTION CALL | Packet::serialize()
2026-03-21T00:43:18.159 | CLIENT | INFO | Packet::serialize() - seq: 16777216 - payload: [ 0x6c 0x6c ]
2026-03-21T00:43:18.159 | CLIENT | FUNCTION END | Packet::serialize()
2026-03-21T00:43:18.160 | CLIENT | FUNCTION CALL | Packet::serialize()
2026-03-21T00:43:18.160 | CLIENT | INFO | Packet::serialize() - seq: 33554432 - payload: [ 0x6f ]
2026-03-21T00:43:18.160 | CLIENT | FUNCTION END | Packet::serialize()
2026-03-21T00:49:12.534 | CLIENT | FUNCTION CALL | Packet::serialize()
